Year,HBR,HBRQF,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,InjuryLocation,InjuryLocationQF,InjuryType,InjuryTypeQF,NumberofDeaths
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Home,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Home,,Poisoning,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Home,,Falls,,2
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Home,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Home,,Crushing,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Home,,Scalds,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Home,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Home,,Other,,1
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Not applicable,,Land transport accidents,,1
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Not applicable,,Poisoning,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Not applicable,,Falls,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Not applicable,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Not applicable,,Crushing,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Not applicable,,Scalds,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Not applicable,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Not applicable,,Other,,1
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Undisclosed,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Undisclosed,,Poisoning,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Undisclosed,,Falls,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Undisclosed,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Undisclosed,,Crushing,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Undisclosed,,Scalds,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Undisclosed,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,0-4 years,,Male,,Undisclosed,,Other,,1
2012,S92000003,d,S92000003,d,0-4 years,,Female,,Home,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,0-4 years,,Female,,Home,,Poisoning,,0
2012,S92000003,d,S92000003,d,0-4 years,,Female,,Home,,Falls,,0
2012,S92000003,d,S92000003,d,0-4 years,,Female,,Home,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,0-4 years,,Female,,Home,,Crushing,,0
2012,S92000003,d,S92000003,d,0-4 years,,Female,,Home,,Scalds,,0
2012,S92000003,d,S92000003,d,0-4 years,,Female,,Home,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,0-4 years,,Female,,Home,,Other,,2
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Not applicable,,Land transport accidents,,2
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Not applicable,,Poisoning,,0
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Not applicable,,Falls,,0
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Not applicable,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Not applicable,,Crushing,,0
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Not applicable,,Scalds,,0
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Not applicable,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Not applicable,,Other,,1
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Other,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Other,,Poisoning,,0
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Other,,Falls,,0
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Other,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Other,,Crushing,,0
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Other,,Scalds,,0
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Other,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,5-9 years,,Male,,Other,,Other,,1
2012,S92000003,d,S92000003,d,5-9 years,,Female,,Not applicable,,Land transport accidents,,1
2012,S92000003,d,S92000003,d,5-9 years,,Female,,Not applicable,,Poisoning,,0
2012,S92000003,d,S92000003,d,5-9 years,,Female,,Not applicable,,Falls,,0
2012,S92000003,d,S92000003,d,5-9 years,,Female,,Not applicable,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,5-9 years,,Female,,Not applicable,,Crushing,,0
2012,S92000003,d,S92000003,d,5-9 years,,Female,,Not applicable,,Scalds,,0
2012,S92000003,d,S92000003,d,5-9 years,,Female,,Not applicable,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,5-9 years,,Female,,Not applicable,,Other,,1
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Home,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Home,,Poisoning,,15
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Home,,Falls,,1
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Home,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Home,,Crushing,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Home,,Scalds,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Home,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Home,,Other,,1
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Not applicable,,Land transport accidents,,27
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Not applicable,,Poisoning,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Not applicable,,Falls,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Not applicable,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Not applicable,,Crushing,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Not applicable,,Scalds,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Not applicable,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Not applicable,,Other,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Other,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Other,,Poisoning,,1
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Other,,Falls,,2
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Other,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Other,,Crushing,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Other,,Scalds,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Other,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Other,,Other,,4
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Undisclosed,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Undisclosed,,Poisoning,,5
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Undisclosed,,Falls,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Undisclosed,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Undisclosed,,Crushing,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Undisclosed,,Scalds,,0
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Undisclosed,,Accidental exposure,,0
